LGA,date,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
Obi Nwa,2027-07-01,4641.245273756583,1318.6045040580993,16718.750923750493,684.4119619005235,33212.337079625264
Obi Nwa,2027-08-01,4813.306180335989,1315.1994412666345,18065.581277757698,669.4379653962485,36697.901536271194
Obi Nwa,2027-09-01,4995.572703666205,1313.8950320366152,19520.612648050785,656.148612269449,40531.915234503
Obi Nwa,2027-10-01,5184.795783702966,1313.6613857452944,21077.282801613008,643.9486812090795,44715.9911754051
Obi Nwa,2027-11-01,5380.758205856828,1314.3176367327765,22740.432233799802,632.6853893000961,49275.863157529464
Obi Nwa,2027-12-01,5587.7817147485475,1316.6591768061955,24536.372167969486,622.643204956765,54287.09035046692
Obi Nwa,2028-01-01,5799.9517687358,1319.384960925047,26443.39467219721,613.2251760940237,59718.25078169957
Obi Nwa,2028-02-01,6025.690153616651,1323.7451275993408,28514.772467498155,604.7969482595327,65716.20843595502
Obi Nwa,2028-03-01,6263.249610767637,1329.5893958650258,30746.449286282572,597.3709298250968,72291.81422826821
Obi Nwa,2028-04-01,6505.667849825854,1335.213545860171,33114.71585056365,590.1094315751814,79415.22736625478
Ohafia,2026-05-01,9953.297553784709,5466.92806627788,18120.530621160186,3980.786009968123,24883.67221187524
Ohafia,2026-06-01,11466.790465642775,5004.396494452354,26347.826892470875,3230.262860696626,40970.35544952002
Ohafia,2026-07-01,11532.908180989283,4223.3540553070015,31755.217816819793,2490.7655083237023,54442.37115478385
Ohafia,2026-08-01,12632.09403581154,3981.379465429766,40683.155089464446,2176.133219016784,75937.82221001461
Ohafia,2026-09-01,13135.777952411525,3633.2861891132684,48574.399258251244,1860.6522867991994,97762.21840175705
Ohafia,2026-10-01,14342.94942763865,3504.84842801929,60463.14444895304,1687.6980888254323,130669.72995965206
Ohafia,2026-11-01,15466.786764090788,3380.1934213146737,73500.45101719248,1541.4296169843174,169596.43863891522
Ohafia,2026-12-01,16691.93102057786,3282.129570442139,88885.55401239809,1422.1289852342265,218254.17596894712
Ohafia,2027-01-01,17318.402530270916,3092.321294510502,102478.85653557074,1279.9596213061543,266645.42569185916
Ohafia,2027-02-01,18669.655920440524,3041.1779505559275,122288.77802821327,1206.011181999769,336519.90711240855
Ohafia,2027-03-01,19972.12905838934,2974.610192626646,144418.6376928753,1131.3712517469603,419605.17651470733
Ohafia,2027-04-01,21348.152608513556,2914.7209049595203,169950.13563093616,1064.764304894071,520531.0673304985
Ohafia,2027-05-01,23234.07784638853,2893.2166334847043,205069.67170567228,1013.0425440287989,665038.0081674169
Ohafia,2027-06-01,25349.05996189773,2889.4725286078046,247449.19486076382,972.3537232980409,848722.3361321087
Ohafia,2027-07-01,27201.665947861915,2855.019864423724,292241.025832404,926.4553979913487,1057700.8366865627
Ohafia,2027-08-01,29533.52612287173,2857.682605869458,348837.032692043,894.850957204095,1331475.1947435867
Ohafia,2027-09-01,31865.915640826905,2854.5320628307654,412358.13077526574,864.5594091504714,1657144.8390919417
Ohafia,2027-10-01,34648.27262703643,2874.0470271324334,491062.7485149742,842.0114608527355,2077216.8706940734
Ohafia,2027-11-01,37626.63566992823,2899.444151175111,582575.3983933973,823.1484472025057,2590915.9882410076
Ohafia,2027-12-01,40900.07670078026,2933.1098839418987,690770.8713826162,807.664883198229,3227552.182293823
Ohafia,2028-01-01,44257.577363126824,2964.273722278955,812930.6611912354,793.0857994612045,3985066.1876778463
Ohafia,2028-02-01,48169.20660986616,3015.3529374941613,961877.8362801322,784.172895172179,4946164.899527438
Ohafia,2028-03-01,52423.81108274194,3071.8425864021583,1136547.8533413277,777.0163987865708,6126649.057490738
Ohafia,2028-04-01,57097.16263881717,3136.263056283545,1342359.9645478213,772.094634406555,7581434.57061991
Osisioma Ngwa,2026-05-01,4388.703475594499,2642.7602256290456,7337.5895513828455,2025.7747682516806,9659.191942585021
Osisioma Ngwa,2026-06-01,5361.449900987998,2863.6310397400202,10154.13108998825,2064.0875143532917,14304.91146917489
Osisioma Ngwa,2026-07-01,4997.005476438754,2563.625435118117,9798.305465806927,1804.9121281092716,14027.976511715166
Osisioma Ngwa,2026-08-01,5655.160873626436,2775.364372295282,11560.299372311812,1906.6017347953127,16900.0785729876
Osisioma Ngwa,2026-09-01,5531.478034051646,2614.3214860583266,11737.613084845467,1760.2150331581847,17499.943478975678
Osisioma Ngwa,2026-10-01,6316.748871795053,2883.1596818652424,13897.980418154386,1906.616530742813,21134.312519004437
