LGA,group,order,seasonal_order,rmse,mae,mase,aic,status
Bende,PW,"(1, 0, 1)","(1, 0, 0, 12)",2631.4349972830078,1780.288563581407,5.832231166523856,107.27580033042084,ok
Bende,PW,"(1, 0, 0)","(1, 0, 0, 12)",2573.6054768322965,1976.9273073679517,6.476420335357745,120.34603981678059,ok
Bende,U5,"(0, 1, 1)","(0, 1, 1, 12)",1001.5453759346699,965.578738608412,9.541291883482332,991.9081450164001,ok
Bende,U5,"(1, 1, 0)","(0, 1, 1, 12)",1001.5138926890179,965.559430183492,9.541101088769684,1032.040233054979,ok
Bende,U5,"(1, 1, 1)","(0, 1, 1, 12)",1001.5247592080989,965.5285934703476,9.54079637816549,1046.9375702292637,ok
Bende,U5,"(0, 1, 1)","(1, 0, 0, 12)",1001.5358645111834,965.5714483062778,9.541219844923694,117.69059087643721,ok
Bende,U5,"(1, 0, 1)","(1, 0, 0, 12)",640.2164168496377,572.3528483461045,5.655660556779688,119.30022973743252,ok
Bende,U5,"(1, 0, 0)","(1, 0, 0, 12)",811.1217177586539,763.2658689173262,7.54215285491429,132.8895392890042,ok
Bende,A5,"(0, 1, 1)","(0, 1, 1, 12)",3984.361823024514,3634.365314600305,12.51826509808079,1032.2987552344011,ok
Bende,A5,"(1, 1, 0)","(0, 1, 1, 12)",3984.336892970681,3634.3901324723133,12.518350581149793,1195.9205413472544,ok
Bende,A5,"(1, 1, 1)","(0, 1, 1, 12)",3984.3709253642633,3634.387196140291,12.518340467201554,1116.283843440429,ok
Bende,A5,"(0, 1, 1)","(1, 0, 0, 12)",3984.3773549894654,3634.408074819921,12.518412382054322,111.43399625004274,ok
Bende,A5,"(1, 0, 1)","(1, 0, 0, 12)",2615.335090560115,1790.4465363506563,6.167042233189206,112.60859675400746,ok
Bende,A5,"(1, 0, 0)","(1, 0, 0, 12)",2711.3391359731654,2212.269197179113,7.619974846048783,125.03369880334193,ok
Ikwuano,PW,"(0, 1, 1)","(0, 1, 1, 12)",3771.894006059581,3340.734497507621,8.330489364771825,1006.0239460572333,ok
Ikwuano,PW,"(1, 1, 0)","(0, 1, 1, 12)",3771.8906053879014,3340.7449657727957,8.330515468543846,912.5044359305364,ok
Ikwuano,PW,"(1, 1, 1)","(0, 1, 1, 12)",3771.897135939491,3340.7424059462683,8.330509085334501,1006.2820392166644,ok
Ikwuano,PW,"(0, 1, 1)","(1, 0, 0, 12)",3771.8741325857854,3340.726694173821,8.33046990629966,113.78809512343318,ok
Ikwuano,PW,"(1, 0, 1)","(1, 0, 0, 12)",3392.081614282845,2626.3562948397093,6.549108646193403,114.85220630994228,ok
Ikwuano,PW,"(1, 0, 0)","(1, 0, 0, 12)",2425.8065149492204,1704.295207569343,4.249847783976916,122.86925607938146,ok
Ikwuano,U5,"(0, 1, 1)","(0, 1, 1, 12)",762.4478923204397,714.9920523507534,7.560053421631016,1109.173292527122,ok
Ikwuano,U5,"(1, 1, 0)","(0, 1, 1, 12)",762.4486385101227,714.998668056522,7.560123373582045,1219.9520598620816,ok
Ikwuano,U5,"(1, 1, 1)","(0, 1, 1, 12)",762.2976995078573,714.8693436431436,7.558755946530727,1275.9937620742885,ok
